DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/2017,10:43,MANHATTAN,10010,40.741993,-73.99346,"(40.741993, -73.99346)",,,686       AVENUE OF THE AMERICAS,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3781289,PICK-UP TRUCK,PICK-UP TRUCK,,,
10/31/2017,10:45,MANHATTAN,10021,40.770477,-73.96639,"(40.770477, -73.96639)",EAST 70 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3781109,PASSENGER VEHICLE,,,,
10/31/2017,10:49,,,40.764843,-73.9473,"(40.764843, -73.9473)",,,4         RIVER ROAD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780569,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,10:50,,,40.78166,-73.944016,"(40.78166, -73.944016)",,,,1,0,0,0,0,0,1,0,Following Too Closely,,,,,3781014,PASSENGER VEHICLE,,,,
10/31/2017,10:50,QUEENS,11354,,,,NORTHERN BOULEVARD,PARSONS BOULEVARD,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3780558,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,10:50,BROOKLYN,11226,40.642017,-73.96266,"(40.642017, -73.96266)",CORTELYOU ROAD,EAST 17 STREET,,1,0,0,0,0,0,1,0,Pavement Defective,,,,,3781067,PASSENGER VEHICLE,,,,
10/31/2017,10:50,BROOKLYN,11226,40.642017,-73.96266,"(40.642017, -73.96266)",CORTELYOU ROAD,EAST 17 STREET,,2,0,0,0,0,0,2,0,Pavement Defective,,,,,3781155,PASSENGER VEHICLE,,,,
10/31/2017,10:50,,,40.656082,-73.95306,"(40.656082, -73.95306)",ROGERS AVENUE,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3781294,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,10:50,,,40.78166,-73.944016,"(40.78166, -73.944016)",,,,1,0,0,0,0,0,1,0,Following Too Closely,,,,,3781014,PASSENGER VEHICLE,,,,
10/31/2017,10:55,BRONX,10461,40.849346,-73.831665,"(40.849346, -73.831665)",,,2913      SAINT THERESA AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3781557,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,light,PASSENGER VEHICLE
10/31/2017,10:56,BRONX,10459,40.8208,-73.90268,"(40.8208, -73.90268)",EAST 161 STREET,UNION AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780557,PASSENGER VEHICLE,,,,
10/31/2017,10:58,QUEENS,11426,40.733345,-73.71655,"(40.733345, -73.71655)",,,250-07    85 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780544,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,10:59,,,40.882683,-73.8265,"(40.882683, -73.8265)",TILLOTSON AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3781620,PASSENGER VEHICLE,,,,
10/31/2017,11:00,BRONX,10468,40.869087,-73.89467,"(40.869087, -73.89467)",,,2755      MORRIS AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3780711,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,11:00,QUEENS,11411,40.69067,-73.73134,"(40.69067, -73.73134)",118 AVENUE,231 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3780735,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PICK-UP TRUCK,,
10/31/2017,11:00,,,40.67561,-73.85235,"(40.67561, -73.85235)",SUTTER AVENUE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781122,PASSENGER VEHICLE,,,,
10/31/2017,11:00,MANHATTAN,10023,40.769928,-73.98258,"(40.769928, -73.98258)",,,24        WEST 61 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3780833,PASSENGER VEHICLE,,,,
10/31/2017,11:00,BROOKLYN,11235,40.576767,-73.96534,"(40.576767, -73.96534)",,,258       BRIGHTON BEACH AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780979,PASSENGER VEHICLE,BU,,,
10/31/2017,11:00,BROOKLYN,11249,40.702175,-73.964355,"(40.702175, -73.964355)",,,16        RODNEY STREET,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3780883,TAXI,,,,
10/31/2017,11:00,BRONX,10468,40.869087,-73.89467,"(40.869087, -73.89467)",,,2755      MORRIS AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3780711,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,11:00,QUEENS,11411,40.69067,-73.73134,"(40.69067, -73.73134)",118 AVENUE,231 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3780735,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PICK-UP TRUCK,,
10/31/2017,11:00,,,40.67561,-73.85235,"(40.67561, -73.85235)",SUTTER AVENUE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781122,PASSENGER VEHICLE,,,,
10/31/2017,11:03,STATEN ISLAND,10305,40.589603,-74.089386,"(40.589603, -74.089386)",HYLAN BOULEVARD,RARITAN AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unsafe Lane Changing,,,,3780782,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,11:11,,,40.613262,-74.00341,"(40.613262, -74.00341)",80 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3780545,PASSENGER VEHICLE,TK,,,
10/31/2017,11:15,,,40.78515,-73.94063,"(40.78515, -73.94063)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3780589,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,11:20,BROOKLYN,11211,40.71409,-73.9556,"(40.71409, -73.9556)",,,377       METROPOLITAN AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3781855,PASSENGER VEHICLE,,,,
10/31/2017,11:20,QUEENS,11691,40.605335,-73.75528,"(40.605335, -73.75528)",BEACH CHANNEL DRIVE,MOTT AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3780988,PASSENGER VEHICLE,TAXI,SPORT UTILITY / STATION WAGON,,
10/31/2017,11:20,BRONX,10461,40.8407,-73.84544,"(40.8407, -73.84544)",FRISBY AVENUE,OVERING STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3781567,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,11:20,MANHATTAN,10024,40.790813,-73.976456,"(40.790813, -73.976456)",WEST END AVENUE,WEST 89 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unsafe Speed,,,,3781073,PICK-UP TRUCK,PICK-UP TRUCK,,,
10/31/2017,11:23,QUEENS,11355,,,,41st Ave,149 PLACE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780551,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,11:24,QUEENS,11434,40.672382,-73.78574,"(40.672382, -73.78574)",BAISLEY BOULEVARD,ROCKAWAY BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3780845,PASSENGER VEHICLE,VN,,,
10/31/2017,11:25,QUEENS,11355,40.754814,-73.83602,"(40.754814, -73.83602)",,,41-06     DELONG STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780552,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,11:30,,,,,,BROOKLYN QUEENS EXPRESSWAY W/B,BULOVA AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780531,TAXI,PASSENGER VEHICLE,,,
10/31/2017,11:30,,,40.66929,-73.842445,"(40.66929, -73.842445)",NORTH CONDUIT AVENUE,CROSS BAY BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780548,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,11:30,,,40.7524,-73.74622,"(40.7524, -73.74622)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3781186,TK,SPORT UTILITY / STATION WAGON,,,
10/31/2017,11:30,BRONX,10458,,,,WEBSTER AVENUE,EAST 189 STREET,,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,,,,3781062,TR,PASSENGER VEHICLE,,,
10/31/2017,11:40,BROOKLYN,11207,40.67312,-73.899086,"(40.67312, -73.899086)",,,143       ALABAMA AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3781230,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,11:45,QUEENS,11420,40.665462,-73.81858,"(40.665462, -73.81858)",NORTH CONDUIT AVENUE,122 PLACE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3781185,PASSENGER VEHICLE,TK,,,
10/31/2017,11:45,BROOKLYN,11237,40.701145,-73.92649,"(40.701145, -73.92649)",,,117       WILSON AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781085,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,11:45,STATEN ISLAND,10309,40.67059,-73.93404,"(40.67059, -73.93404)",,,2900      VETERANS ROAD WEST,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3781459,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,11:50,,,40.76789,-73.838005,"(40.76789, -73.838005)",,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3780704,PASSENGER VEHICLE,VN,,,
10/31/2017,11:50,STATEN ISLAND,10301,40.6259,-74.08873,"(40.6259, -74.08873)",EDDY STREET,HOWARD AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3780945,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,11:50,BROOKLYN,11220,40.637756,-74.00721,"(40.637756, -74.00721)",8 AVENUE,56 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3781221,LL,PASSENGER VEHICLE,,,
10/31/2017,11:57,BROOKLYN,11217,40.68118,-73.97539,"(40.68118, -73.97539)",,,214       FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780886,TT,SPORT UTILITY / STATION WAGON,,,
10/31/2017,11:58,QUEENS,11361,40.75826,-73.76829,"(40.75826, -73.76829)",BELL BOULEVARD,46 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780564,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:00,MANHATTAN,10037,40.815933,-73.939545,"(40.815933, -73.939545)",,,551       LENOX AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3781810,PASSENGER VEHICLE,,,,
10/31/2017,12:00,MANHATTAN,10013,40.721626,-73.99951,"(40.721626, -73.99951)",,,435       BROOME STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781135,VN,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:00,MANHATTAN,10010,40.73842,-73.980095,"(40.73842, -73.980095)",,,305       EAST 24 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781957,SPORT UTILITY / STATION WAGON,,,,
10/31/2017,12:00,BROOKLYN,11207,40.684937,-73.91014,"(40.684937, -73.91014)",BUSHWICK AVENUE,COOPER STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781088,PK,TK,,,
10/31/2017,12:00,QUEENS,11363,40.76229,-73.75711,"(40.76229, -73.75711)",NORTHERN BOULEVARD,CROSS ISLAND PARKWAY,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3780561,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,12:00,BROOKLYN,11208,40.674267,-73.87069,"(40.674267, -73.87069)",BELMONT AVENUE,PINE STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3781018,PASSENGER VEHICLE,,,,
10/31/2017,12:00,,,40.661743,-73.94784,"(40.661743, -73.94784)",LINCOLN ROAD,,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,3781303,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:00,BRONX,10468,40.867676,-73.89855,"(40.867676, -73.89855)",WEST KINGSBRIDGE ROAD,DAVIDSON AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780749,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:03,BROOKLYN,11215,40.677113,-73.98229,"(40.677113, -73.98229)",,,640       UNION STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3782344,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:05,BROOKLYN,11233,40.668377,-73.92012,"(40.668377, -73.92012)",EAST NEW YORK AVENUE,HOWARD AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3780800,PASSENGER VEHICLE,TK,,,
10/31/2017,12:06,BROOKLYN,11232,40.665142,-73.99669,"(40.665142, -73.99669)",3 AVENUE,19 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3780733,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,12:10,BROOKLYN,11212,40.659138,-73.915855,"(40.659138, -73.915855)",,,389       LEGION STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781164,VAN,FIRE TRUCK,,,
10/31/2017,12:11,BRONX,10460,40.847816,-73.88285,"(40.847816, -73.88285)",CROTONA PARKWAY,BRONX PARK SOUTH,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780628,BICYCLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:15,,,40.617924,-74.155785,"(40.617924, -74.155785)",RICHMOND AVENUE,DEPPE PLACE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3781100,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,12:20,STATEN ISLAND,10304,40.627167,-74.07595,"(40.627167, -74.07595)",BAY STREET,WATER STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3780530,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,12:20,QUEENS,11373,40.733967,-73.87177,"(40.733967, -73.87177)",,,90-15     QUEENS BOULEVARD,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780870,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/31/2017,12:20,STATEN ISLAND,10304,40.627167,-74.07595,"(40.627167, -74.07595)",BAY STREET,WATER STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3780530,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,12:28,,,40.689808,-73.80931,"(40.689808, -73.80931)",,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3781002,SPORT UTILITY / STATION WAGON,CM,,,
10/31/2017,12:30,,,40.632988,-73.97637,"(40.632988, -73.97637)",EAST 2 STREET,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3781059,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:30,QUEENS,11366,40.732567,-73.78379,"(40.732567, -73.78379)",,,73-03     187 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781481,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:30,BROOKLYN,11215,40.66618,-73.98358,"(40.66618, -73.98358)",,,457       11 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3780891,PASSENGER VEHICLE,,,,
10/31/2017,12:30,,,40.587177,-73.93159,"(40.587177, -73.93159)",KNAPP STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780933,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:30,BROOKLYN,11209,40.632156,-74.02751,"(40.632156, -74.02751)",3 AVENUE,74 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3780813,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,12:30,,,40.692463,-73.81082,"(40.692463, -73.81082)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3781006,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:30,,,40.632988,-73.97637,"(40.632988, -73.97637)",EAST 2 STREET,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3781059,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:35,MANHATTAN,10009,40.726097,-73.97993,"(40.726097, -73.97993)",,,604       EAST 9 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3781883,AM,PASSENGER VEHICLE,,,
10/31/2017,12:35,MANHATTAN,10009,40.726097,-73.97993,"(40.726097, -73.97993)",,,604       EAST 9 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3781883,AM,PASSENGER VEHICLE,,,
10/31/2017,12:38,MANHATTAN,10030,40.815254,-73.941536,"(40.815254, -73.941536)",,,136       WEST 136 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3781826,VN,,,,
10/31/2017,12:42,MANHATTAN,10017,40.752396,-73.97233,"(40.752396, -73.97233)",,,225       EAST 45 STREET,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3780556,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:45,QUEENS,11362,40.761265,-73.73133,"(40.761265, -73.73133)",HORACE HARDING EXPRESSWAY,250 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780562,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,12:50,,,40.74459,-73.9325,"(40.74459, -73.9325)",QUEENS BOULEVARD,,,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,,,,3781243,SPORT UTILITY / STATION WAGON,TK,,,
10/31/2017,12:50,,,40.74258,-73.729744,"(40.74258, -73.729744)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3780736,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
10/31/2017,12:50,,,40.58731,-74.19818,"(40.58731, -74.19818)",,,4390      VICTORY BOULEVARD,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3781101,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/31/2017,12:55,QUEENS,11358,40.76521,-73.8005,"(40.76521, -73.8005)",35 AVENUE,165 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3780706,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,12:55,BROOKLYN,11235,40.579075,-73.937035,"(40.579075, -73.937035)",,,186       PEMBROKE STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780931,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,12:58,,,40.74128,-73.90257,"(40.74128, -73.90257)",QUEENS BOULEVARD,61 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781191,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,12:58,QUEENS,11378,40.72621,-73.920525,"(40.72621, -73.920525)",48 STREET,56 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781188,SPORT UTILITY / STATION WAGON,FR,,,
10/31/2017,12:58,,,40.74128,-73.90257,"(40.74128, -73.90257)",QUEENS BOULEVARD,61 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781191,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,13:00,BROOKLYN,11207,40.67385,-73.90024,"(40.67385, -73.90024)",LIBERTY AVENUE,WILLIAMS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781017,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,13:00,QUEENS,11101,,,,BORDEN AVENUE,HUNTERS POINT AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,,,3781306,VN,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/31/2017,13:00,,,40.666386,-73.80178,"(40.666386, -73.80178)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3780846,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,13:00,,,40.714478,-74.01354,"(40.714478, -74.01354)",WEST STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3781395,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,13:00,MANHATTAN,10036,40.756622,-73.98628,"(40.756622, -73.98628)",,,3         TIMES SQUARE,0,0,0,0,0,0,0,0,Other Vehicular,Unsafe Lane Changing,,,,3781000,TAXI,TAXI,,,
10/31/2017,13:00,,,40.79801,-73.827065,"(40.79801, -73.827065)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781541,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,13:08,STATEN ISLAND,10305,40.606884,-74.0781,"(40.606884, -74.0781)",NARROWS ROAD NORTH,CLIFTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780946,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,13:15,,,40.724552,-73.72452,"(40.724552, -73.72452)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781739,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,13:20,MANHATTAN,10004,40.70509,-74.016464,"(40.70509, -74.016464)",BATTERY PLACE,WEST STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3780920,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
10/31/2017,13:20,QUEENS,11370,40.760044,-73.89756,"(40.760044, -73.89756)",70 STREET,30 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3781040,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,13:20,BROOKLYN,11226,40.644657,-73.95664,"(40.644657, -73.95664)",EAST 22 STREET,BEVERLEY ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3781078,SPORT UTILITY / STATION WAGON,,,,
10/31/2017,13:30,MANHATTAN,10023,40.779774,-73.980774,"(40.779774, -73.980774)",,,295       AMSTERDAM AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780834,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,13:30,QUEENS,11101,40.740932,-73.94485,"(40.740932, -73.94485)",50 AVENUE,25 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3781582,PICK-UP TRUCK,,,,
10/31/2017,13:30,QUEENS,11355,40.75786,-73.8293,"(40.75786, -73.8293)",,,41-17     MAIN STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781278,,,,,
10/31/2017,13:30,MANHATTAN,10009,40.72468,-73.984,"(40.72468, -73.984)",,,504       EAST 5 STREET,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3781900,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,13:30,BROOKLYN,11201,40.694473,-73.98328,"(40.694473, -73.98328)",,,325       GOLD STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3781929,PASSENGER VEHICLE,,,,
10/31/2017,13:30,BRONX,10458,40.866432,-73.88631,"(40.866432, -73.88631)",,,383       EAST 198 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3780712,PASSENGER VEHICLE,,,,
10/31/2017,13:30,BROOKLYN,11224,40.58022,-74.00479,"(40.58022, -74.00479)",,,3737      POLAR STREET,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3782104,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,13:35,QUEENS,11372,40.7476,-73.8936,"(40.7476, -73.8936)",,,72-08     BROADWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781041,PASSENGER VEHICLE,DP,,,
10/31/2017,13:35,,,40.80003,-73.954865,"(40.80003, -73.954865)",WEST 111 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781115,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,13:35,QUEENS,11372,40.7476,-73.8936,"(40.7476, -73.8936)",,,72-08     BROADWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781041,PASSENGER VEHICLE,DP,,,
10/31/2017,13:37,,,40.88219,-73.85066,"(40.88219, -73.85066)",EAST 222 STREET,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3780681,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
10/31/2017,13:39,BROOKLYN,11230,40.61415,-73.97291,"(40.61415, -73.97291)",AVENUE N,EAST 2 STREET,,2,0,0,0,0,0,2,0,Reaction to Other Uninvolved Vehicle,Unsafe Lane Changing,,,,3781219,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,13:40,BROOKLYN,11209,40.630108,-74.02537,"(40.630108, -74.02537)",4 AVENUE,76 STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,3780814,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
10/31/2017,13:45,QUEENS,11354,40.768993,-73.83364,"(40.768993, -73.83364)",,,31-06     FARRINGTON STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780705,DS,SPORT UTILITY / STATION WAGON,,,
